"Country","Country Code","CPI 2016 Score","CPI 2015 Score","CPI 2014 Score","CPI 2013 Score","CPI 2012 Score",
"New Zealand","NZL","90","88","91","91","90",
"Denmark","DNK","90","91","92","91","90",
"Finland","FIN","89","90","89","89","90",
"Sweden","SWE","88","89","87","89","88",
"Switzerland","CHE","86","86","86","85","86",
"Norway","NOR","85","87","86","86","85",
"Singapore","SGP","84","85","84","86","87",
"Netherlands","NLD","83","87","83","83","84",
"Canada","CAN","82","83","81","81","84",
"Germany","DEU","81","81","79","78","79",
"Luxembourg","LUX","81","81","82","80","80",
"United Kingdom","GBR","81","81","78","76","74",
"Australia","AUS","79","79","80","81","85",
"Iceland","ISL","78","79","79","78","82",
"Hong Kong","HKG","77","75","74","75","77",
"Belgium","BEL","77","77","76","75","75",
"Austria","AUT","75","76","72","69","69",
"The United States of America","USA","74","76","74","73","73",
"Ireland","IRL","73","75","74","72","69",
"Japan","JPN","72","75","76","74","74",
"Uruguay","URY","71","74","73","73","72",
"Estonia","EST","70","70","69","68","64",
"France","FRA","69","70","69","71","71",
"Bahamas","BHS","66",,"71","71","71",
"Chile","CHL","66","70","73","71","72",
"United Arab Emirates","ARE","66","70","70","69","68",
"Bhutan","BTN","65","65","65","63","63",
"Israel","ISR","64","61","60","61","60",
"Poland","POL","62","62","61","60","58",
"Portugal","PRT","62","63","63","62","63",
"Barbados","BRB","61",,"74","75","76",
"Taiwan","TWN","61","62","61","61","61",
"Qatar","QAT","61","71","69","68","68",
"Slovenia","SVN","61","60","58","57","61",
"Saint Lucia","LCA","60",,,"71","71",
"Saint Vincent and The Grenadines","VCT","60",,"67","62","62",
"Botswana","BWA","60","63","63","64","65",
"Dominica","DMA","59",,"58","58","58",
"Cape Verde","CPV","59","55","57","58","60",
"Lithuania","LTU","59","61","58","57","54",
"Costa Rica","CRI","58","55","54","53","54",
"Brunei","BRN","58",,,"60","55",
"Spain","ESP","58","58","60","59","65",
"Georgia","GEO","57","52","52","49","52",
"Latvia","LVA","57","55","55","53","49",
"Grenada","GRD","56",,,,
"Cyprus","CYP","55","61","63","63","66",
"Czech Republic","CZE","55","56","51","48","49",
"Malta","MLT","55","56","55","56","57",
"Mauritius","MUS","54","53","54","52","57",
"Rwanda","RWA","54","54","49","53","53",
"Korea (South)","KOR","53","56","55","55","56",
"Namibia","NAM","52","53","49","48","48",
"Slovakia","SVK","51","51","50","47","46",
"Malaysia","MYS","49","50","52","50","49",
"Croatia","HRV","49","51","48","48","46",
"Jordan","JOR","48","53","49","45","48",
"Hungary","HUN","48","51","54","54","55",
"Romania","ROM","48","46","43","43","44",
"Cuba","CUB","47","47","46","46","48",
"Italy","ITA","47","44","43","43","42",
"Saudi Arabia","SAU","46","52","49","46","44",
"Sao Tome and Principe","STP","46","42","42","42","42",
"Suriname","SUR","45","36","36","36","37",
"Montenegro","MON","45","44","42","44","41",
